Username	Category	#Followers	#Followees	#Posts
dreamybeautybar	beauty	2306	512	2443
naturallybeautifulgirl	beauty	1079	410	463
hanahana1214	beauty	4284	1217	705
lou.von.bright	beauty	104314	572	419
makeupbyrosec	beauty	221037	1206	1773
makeupbymisskris	beauty	59879	848	1059
extensionbarla	beauty	14832	1964	824
omayramontes	beauty	3571	1819	843
makeupbycherylh	beauty	26971	558	805
lyds_makeup	beauty	177993	1480	1795
dollface_glamour	beauty	57932	7497	3562
acoloradohairstylist	beauty	1913	945	386
nailstorming	beauty	1057372	382	2431
graceonyourdash	beauty	165951	299	378
verdebio	beauty	18417	549	1424
jadeywadey180	beauty	1150240	5938	2886
thebeyoutybureau	beauty	38449	1525	938
makeupbyjalesse	beauty	11036	479	607
ellycatt	beauty	71339	1600	646
glamourqueen_mua	beauty	6733	2282	986
gotymakeup3	beauty	77756	817	3913
mollypopsofcolor	beauty	31449	850	1438
nickeilgenesis	beauty	43601	2932	1059
luckyones07	beauty	3691	6769	1057
1208_sj	beauty	59020	279	1333
rosy_soo	beauty	33506	198	383
harmonysouthway	beauty	1164	1978	814
laura_mkp	beauty	1500	1962	730
basic_gaia	beauty	61705	250	949
beautyfashlaw	beauty	2132	883	449
kilennyk	beauty	15515	993	424
lovinggirlylife	beauty	8855	6874	336
carlayneclover	beauty	43457	78	330
thelittlemua	beauty	32750	2428	982
emily_snips	beauty	29797	698	3812
katieamerrick	beauty	4522	1541	529
minute._.2	beauty	1074	168	272
khloedosh	beauty	322040	602	1980
nikolekristinehair	beauty	1121	933	834
makeupbyalinna	beauty	2223377	339	589
casslevinehair	beauty	1175	991	417
maryamremias	beauty	23525	1154	1277
andriellyneri	beauty	29292	363	696
amieyoungmua	beauty	8923	6700	615
lolaliner	beauty	614530	342	1307
hairmakeupbyanna	beauty	86364	489	507
braided_to_infinity	beauty	47386	395	703
tineballeteam_hairstudio	beauty	2771	577	694
vannedoesit	beauty	2057	1787	552
brutavaresppf	beauty	1643856	4644	13132
secrets.of.makeup	beauty	6793	2853	663
raphaelamua	beauty	81277	3789	409
nataliesandqvist	beauty	12953	386	969
hair.by.cara	beauty	4088	1253	880
bellacobian	beauty	30691	1003	338
smokeylily	beauty	28767	1691	626
bonnys_wonderland	beauty	1753	776	459
zachmesquit	beauty	216199	372	960
mirellamanelli	beauty	46940	714	646
roseandben	beauty	349824	526	2717
turquoisetrouble	beauty	8913	2255	1037
kirstyrowlands.makeup	beauty	1956	1494	1098
makeupbytammi	beauty	76921	699	1200
safai305	beauty	32938	948	996
tianacosmetics	beauty	159526	1160	466
kesulatko_makeup	beauty	1177	214	260
captureyesstudio	beauty	7548	1191	1824
marchbeautyword	beauty	37128	747	3062
special.koko	beauty	41954	835	4146
bilbo_park	beauty	21525	160	463
ilinca.munteanu	beauty	18024	346	1563
ryanbpotter	beauty	350760	471	455
glamoureal	beauty	185095	165	1909
mmaiohmmai	beauty	34728	1664	888
makeupl0verr	beauty	56249	673	1617
theblondemann	beauty	77815	722	1123
rachleary	beauty	181549	666	1394
lepetitbeirut	beauty	104540	526	540
johannaherrstedt	beauty	625066	508	410
ashleyswagnerxo	beauty	264208	542	1444
amythemermaidx	beauty	318764	228	948
sarahshithappens	beauty	39632	938	446
shaylasouliere	beauty	98729	3417	1073
bymorgantyler	beauty	1601	237	330
taesface	beauty	32387	108	400
alanaahewitt	beauty	9346	1245	274
captaingabex	beauty	89350	373	486
patryyciah	beauty	8003	1405	598
deneandale	beauty	30554	1262	1161
pompberry	beauty	42134	2499	826
jasmineregmi	beauty	154389	294	941
venessaluciano	beauty	33340	367	1768
hairwitchery	beauty	1199	1188	924
verolover	beauty	6850	1745	2065
carollago	beauty	31815	906	788
graceful_knots	beauty	3974	1628	327
irisbeilin	beauty	631046	982	1626
thevinfx	beauty	36996	670	372
queenofluna	beauty	423430	483	487
glambyshelby	beauty	23343	529	570
cherylpandemonium	beauty	111202	461	1686
chloezadori	beauty	10266	1445	1190
theresahuaroto	beauty	11302	474	672
vianneyleigh_makeup	beauty	3550	1081	1103
shekinahstudio	beauty	4174	1044	245
beautyxgabrielle	beauty	11737	1443	343
studioveronaa	beauty	18497	420	1418
chinabell	beauty	21000	3140	1684
vanjajagnic	beauty	54327	744	509
hairstylistof_la	beauty	31469	3479	5697
ewalkk	beauty	14397	754	437
sharmkup	beauty	17264	1806	1277
nicolesmakeup_	beauty	83928	608	420
_chloemorton	beauty	101224	1867	1684
mandiglitter	beauty	7557	6195	1649
skye.lw	beauty	116922	395	1142
lady_end	beauty	2657	1559	4681
themisschriss	beauty	9544	1152	2098
trophdoph	beauty	28505	609	485
lindseystarbies	beauty	1119	684	779
brownhairedbliss	beauty	169649	376	1982
girinbt	beauty	47992	281	405
lyanna_mua	beauty	11779	1627	325
melraesegal	beauty	92400	786	894
mrtndamex	beauty	66156	526	1055
urbandecaycosmetics	beauty	10175588	1023	5167
a1delatorre	beauty	91041	272	585
miik3y_starr	beauty	34239	6840	4620
tonya_stylz	beauty	2258	514	602
_kelsxo_	beauty	26357	485	642
beautybykiim	beauty	6048	646	626
sylwiaperri	beauty	10887	1681	662
malvikasitlaniofficial	beauty	103971	2044	1319
cpresso	beauty	203385	659	1578
vilcreates	beauty	41291	917	421
shelbytriglia	beauty	161675	142	323
barbara_makeup_2690	beauty	25892	3562	685
pigeon_pie_art	beauty	80129	435	499
hazelmaven	beauty	2540	1223	318
susannebarnekow	beauty	25588	7098	2505
mscatrin	beauty	4053	743	397
laurawhittlemua	beauty	1420	2140	369
itstessymuller	beauty	50348	944	810
pennold	beauty	231957	1880	1079
iheart_sarahy	beauty	195863	1333	481
